"author","year","title","exposure","outcome","outcome_info","outcome_group","MR_design","MR_method","effect_estimate","estimate"
"Fall",2013,"The Role of Adiposity in Cardiometabolic Traits: A
Mendelian Randomization Analysis","BMI","ALT","ALT","hepatic","one-sample meta-analysis","Inverse variance weighted (multiplicative random effects)","Beta","3.40E-02"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","ALT","natural log ALT","hepatic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","0.22"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","ALT","natural log ALT","hepatic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","−0.10"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","ALT","natural log ALT","hepatic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","0.11"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","ALT","natural log ALT","hepatic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","0.09"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","ALT","natural log ALT","hepatic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","0.09"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","ALT","log ALT","metabolic","One-sample","Two-stage-least-squares","Beta","0.0177"
"Dongiovannir",2017,"Causal relationship of hepatic fat with liver damage and insulin resistance in nonalcoholic fatty liver","hepatic fat","ALT","ALT","hepatic","One-sample","Linear regression model","Beta","0.58"
"Zeng",2019,"Causal Association between Birth Weight and Adult Diseases: Evidence from a Mendelian Randomisation Analysis","birth weight","Alzheimer's disease","alzheimer’s disease","brain","Two-sample summary-level","Inverse variance weighted","OR","1.06"
"He",2017,"Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study","BMI","Alzheimer's disease","Alzheimers disease","brain","One-sample","Time-to-event MR","Additive hazards model","9.74E-05"
"Mukherjee",2015,"Genetically Predicted Body Mass Index and Alzheimer’s Disease Related Phenotypes in Three Large Samples: Mendelian Randomization Analyses","BMI","Alzheimer's disease","Alzheimer's disease (in ADGC)","brain","One-sample","Inverse variance weighted (fixed effects)","OR","0.95"
"Mukherjee",2015,"Genetically Predicted Body Mass Index and Alzheimer’s Disease Related Phenotypes in Three Large Samples: Mendelian Randomization Analyses","BMI","Alzheimer's disease","Alzheimer's disease (in GERAD)","brain","One-sample","Inverse variance weighted (fixed effects)","OR","0.96"
"Mukherjee",2015,"Genetically Predicted Body Mass Index and Alzheimer’s Disease Related Phenotypes in Three Large Samples: Mendelian Randomization Analyses","BMI","Alzheimer's disease","Alzheimer's disease (in both ADGC + GERAD)","brain","One-sample","Inverse variance weighted (fixed effects)","OR","0.95"
"Nordestgaard",2017,"Body Mass Index and Risk of Alzheimer’s Disease: A Mendelian Randomization Study of 399,536 Individuals","BMI","Alzheimer's disease","alzheimer's disease","brain","One-sample","Two-stage-least-squares","OR","0.98"
"Nordestgaard",2017,"Body Mass Index and Risk of Alzheimer’s Disease: A Mendelian Randomization Study of 399,536 Individuals","BMI","Alzheimer's disease","alzheimer's disease","brain","Two-sample summary-level","Inverse variance weighted","OR","1.02"
"Østergaard",2015,"Associations between Potentially Modifiable
Risk Factors and Alzheimer Disease: A
Mendelian Randomization Study","BMI","Alzheimer's disease","alzheimer's disease","brain","Two-sample summary-level","Inverse variance weighted","OR","0.99"
"Bonnefond",2017,"Relationship between salivary/pancreatic amylase and body mass index: a systems biology approach","BMI","AMY1","salivary amylase","metabolic","One-sample","Inverse variance weighted","Beta","-4.15"
"Bonnefond",2017,"Relationship between salivary/pancreatic amylase and body mass index: a systems biology approach","BMI","AMY1","salivary amylase","metabolic","One-sample","Two-stage-least-squares","Beta","-0.97"
"Bonnefond",2017,"Relationship between salivary/pancreatic amylase and body mass index: a systems biology approach","BMI","AMY2","pancreatic amylase","metabolic","One-sample","Inverse variance weighted","Beta","-2.53"
"Bonnefond",2017,"Relationship between salivary/pancreatic amylase and body mass index: a systems biology approach","BMI","AMY2","pancreatic amylase","metabolic","One-sample","Two-stage-least-squares","Beta","-0.75"
"Zeng",2019,"Association Between Premorbid Body Mass Index and Amyotrophic Lateral Sclerosis: Causal Inference Through Genetic Approaches","BMI","amyotrophic lateral sclerosis","amyotrophic lateral sclerosis","brain","Two-sample summary-level","Inverse variance weighted","OR","1.04"
"Zeng",2019,"Association Between Premorbid Body Mass Index and Amyotrophic Lateral Sclerosis: Causal Inference Through Genetic Approaches","BMI","amyotrophic lateral sclerosis","amyotrophic lateral sclerosis","brain","Two-sample summary-level","Inverse variance weighted","OR","0.09"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","BMI","anemia","iron deficiency","metabolic","Generalized summary data-based MR (GSMR)","GSMR","OR","1.296690983"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","WHRadjBMI","anemia","iron deficiency","metabolic","Generalized summary data-based MR (GSMR)","GSMR","OR","1.422455485"
"van't Hof",2017,"Genetic variants associated with type 2 diabetes and adiposity and risk of intracranial and abdominal aortic aneurysms","BMI","aneurysm","intracranial aneurysm","cardiovascular","One-sample","Inverse variance weighted","OR","1.15"
"van't Hof",2018,"Genetic variants associated with type 2 diabetes and adiposity and risk of intracranial and abdominal aortic aneurysms","BMI","aneurysm","abdominal aortic aneurysm","cardiovascular","One-sample","Inverse variance weighted","OR","1.63"
"van't Hof",2019,"Genetic variants associated with type 2 diabetes and adiposity and risk of intracranial and abdominal aortic aneurysms","WHRadjBMI","aneurysm","intracranial aneurysm","cardiovascular","One-sample","Inverse variance weighted","OR","0.49"
"van't Hof",2020,"Genetic variants associated with type 2 diabetes and adiposity and risk of intracranial and abdominal aortic aneurysms","WHRadjBMI","aneurysm","abdominal aortic aneurysm","cardiovascular","One-sample","Inverse variance weighted","OR","1.84"
"Bockerman",2018,"The effect of weight on labor market outcomes: An application of genetic instrumental variables","BMI","annual income","annual income","social","One-sample","Two-stage-least-squares","Mean value for the dependet variable","0.01"
"Reed",2017,"Assessing the causal role of adiposity on disordered eating in
childhood, adolescence, and adulthood: a Mendelian randomization
analysis","BMI","anorexia nervosa","anorexia nervosa","mental health","Two-sample summary-level","Inverse variance weighted","Beta","-0.18"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Inverse variance weighted","Beta","0.32"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Inverse variance weighted","Beta","0"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Inverse variance weighted","Beta","0.06"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Inverse variance weighted","Beta","-0.03"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Inverse variance weighted","Beta","0.32"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Split-sample IV estimate","Beta","0.05"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Split-sample IV estimate","Beta","0.04"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Split-sample IV estimate","Beta","-7.00E-02"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Split-sample IV estimate","Beta","0.31"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Split-sample IV estimate","Beta","-0.06"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Split-sample IV estimate","Beta","0.09"
"Walter",2015,"Do genetic risk scores for body mass index predict risk of phobic anxiety? Evidence for a shared genetic risk of phobic anxiety? Evidence for a shared genetic risk factor","BMI","anxiety","phobic anxiety","mental health","one-sample meta-analysis","Split-sample IV estimate","Beta","0.01"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","anxiety","anxiety","mental health","One-sample","Logistic regression model","OR","0.93"
"Benn",2016,"High body mass index and cancer risk—a Mendelian randomisation study","BMI","any cancer","any non-skin cancer","cancer","One-sample","Two-stage-least-squares","HR","1.16"
"Benn",2016,"High body mass index and cancer risk—a Mendelian randomisation study","BMI","any cancer","non-melanoma skin cancer","cancer","One-sample","Two-stage-least-squares","HR","0.71"
"He",2017,"Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study","BMI","any cancer","any cancer","cancer","One-sample","Time-to-event MR","Additive hazards model","0.000289"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","BMI","any cancer","any cancer","cancer","Generalized summary data-based MR (GSMR)","GSMR","OR","0.895229523"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","any cancer","any cancer","cancer","One-sample","Logistic regression model","OR","1.02"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","WHRadjBMI","any cancer","any cancer","cancer","Generalized summary data-based MR (GSMR)","GSMR","OR","1.054848177"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","aortic stenosis","aortic stenosis","cardiovascular","One-sample","Logistic regression model","OR","0.97"
"Millard",2015,"MR-PheWAS: hypothesis prioritization among potential causal effects of body mass index on many outcomes, using Mendelian randomization","BMI","apoA1","apoA1","metabolic","MR-PheWAS","Two-stage-least-squares","Beta","-0.243"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","apoA1","apoA1","metabolic","One-sample","Two-stage-least-squares","Beta","-0.00826"
"Mack",2017,"Evaluating the Causal Relation of ApoA-IV with Disease-Related Traits - A Bidirectional Two-sample Mendelian Randomization Study","BMI","apoA4","apolipoprotein A-IV","metabolic","Two-sample summary-level","Inverse variance weighted","Beta","6.70E-03"
"Mack",2017,"Evaluating the Causal Relation of ApoA-IV with Disease-Related Traits - A Bidirectional Two-sample Mendelian Randomization Study","WHRadjBMI","apoA4","apolipoprotein A-IV","metabolic","Two-sample summary-level","Inverse variance weighted","Beta","7.61E-02"
"Millard",2015,"MR-PheWAS: hypothesis prioritization among potential causal effects of body mass index on many outcomes, using Mendelian randomization","BMI","apoB","apoB","metabolic","MR-PheWAS","Two-stage-least-squares","Beta","0.363"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","apoB","apoB","metabolic","One-sample","Two-stage-least-squares","Beta","0.0151"
"Zanetti",2018,"Birthweight, Type 2 Diabetes Mellitus, and Cardiovascular Disease: Addressing the Barker Hypothesis With Mendelian Randomization","birth weight","arrhythmia","log odds atrial fibriliation","cardiovascular","Two-sample summary-level","Inverse variance weighted","OR","1.15"
"He",2017,"Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study","BMI","arrhythmia","atrial fibrillation","cardiovascular","One-sample","Time-to-event MR","Additive hazards model","0.00018"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat free mass","arrhythmia","atrial fibrillation","cardiovascular","Two-sample summary-level","Inverse variance weighted","RR","1.55"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat free mass","arrhythmia","atrial fibrillation","cardiovascular","Multivariable, two-sample","Linear regression model","RR","1.37"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat free mass","arrhythmia","atrial fibrillation","cardiovascular","Multivariable, two-sample","Linear regression model","RR","1.5"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat free mass","arrhythmia","atrial fibrillation","cardiovascular","One-sample","Two-stage-least-squares","RR","1.4"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat free mass","arrhythmia","atrial fibrillation","cardiovascular","One-sample","Two-stage-least-squares","RR","1.41"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat mass","arrhythmia","atrial fibrillation","cardiovascular","Two-sample summary-level","Inverse variance weighted","RR","1.3"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat mass","arrhythmia","atrial fibrillation","cardiovascular","Multivariable, two-sample","Linear regression model","RR","1.28"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat mass","arrhythmia","atrial fibrillation","cardiovascular","One-sample","Two-stage-least-squares","RR","1.21"
"Tikkanen",2019,"Body composition and atrial fibrillation: a Mendelian randomization study","fat mass","arrhythmia","atrial fibrillation","cardiovascular","One-sample","Two-stage-least-squares","RR","1.3"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","arrhythmia","atrial fibriliation or flutter","cardiovascular","One-sample","Logistic regression model","OR","0.88"
"Zeng",2019,"Causal Association between Birth Weight and Adult Diseases: Evidence from a Mendelian Randomisation Analysis","birth weight","arthritis","rheumatoid arthritis","skeletal","Two-sample summary-level","Inverse variance weighted","OR","0.89"
"Zeng",2019,"Causal Association between Birth Weight and Adult Diseases: Evidence from a Mendelian Randomisation Analysis","birth weight","arthritis","ankylosing spondylitis","skeletal","Two-sample summary-level","Inverse variance weighted","OR","0.82"
"Bae",2018,"Causal association between body mass index and risk of rheumatoid arthritis: A Mendelian randomization study","BMI","arthritis","rheumatoid arthritis","skeletal","Two-sample summary-level","Inverse variance weighted","Beta","3.00E-03"
"Larsson",2018,"Genetic association between adiposity and gout: a Mendelian randomization study","BMI","arthritis","gout","skeletal","Two-sample summary-level","Inverse variance weighted","OR","2.24"
"Larsson",2018,"Genetic association between adiposity and gout: a Mendelian randomization study","BMI","arthritis","gout","skeletal","Two-sample summary-level","Inverse variance weighted","OR","2.12"
"Richardson",2019,"An atlas of polygenic risk score associations to highlight putative causal relationships across the human phenome","BMI","arthritis","gout self report","skeletal","Two-sample summary-level","Inverse variance weighted","Beta","0.0051"
"Richardson",2019,"An atlas of polygenic risk score associations to highlight putative causal relationships across the human phenome","BMI","arthritis","gout self report","skeletal","Multivariable, two-sample","Not discussed","Beta","-0.0035"
"Richardson",2019,"An atlas of polygenic risk score associations to highlight putative causal relationships across the human phenome","BMI","arthritis","gout self report","skeletal","Multivariable, two-sample","Not discussed","Beta","-0.004"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","arthritis","gout","skeletal","One-sample","Logistic regression model","OR","0.93"
"Larsson",2018,"Genetic association between adiposity and gout: a Mendelian randomization study","WHRadjBMI","arthritis","gout","skeletal","Two-sample summary-level","Inverse variance weighted","OR","0.97"
"Larsson",2018,"Genetic association between adiposity and gout: a Mendelian randomization study","WHRadjBMI","arthritis","gout","skeletal","Two-sample summary-level","Inverse variance weighted","OR","0.95"
"Dongiovannir",2017,"Causal relationship of hepatic fat with liver damage and insulin resistance in nonalcoholic fatty liver","hepatic fat","AST","AST","hepatic","One-sample","Linear regression model","Beta","0.54"
"Zeng",2018,"Birth weight is not causally associated with adult asthma: results from instrumental variable analyses","birth weight","asthma","asthma","respiratory","Two-sample summary-level","Inverse variance weighted","OR","1.02"
"Chen",2019,"Causal relationships between adiposity and childhood asthma:bi-directional Mendelian Randomization analysis","BMI","asthma","active","respiratory","One-sample (bi-directional)","Two-stage-least-squares","RR","1.04"
"Chen",2019,"Causal relationships between adiposity and childhood asthma:bi-directional Mendelian Randomization analysis","BMI","asthma","non-atopic","respiratory","One-sample (bi-directional)","Two-stage-least-squares","RR","1.03"
"Chen",2019,"Causal relationships between adiposity and childhood asthma:bi-directional Mendelian Randomization analysis","BMI","asthma","atopic","respiratory","One-sample (bi-directional)","Two-stage-least-squares","RR","1.02"
"Chen",2019,"Causal relationships between adiposity and childhood asthma:bi-directional Mendelian Randomization analysis","BMI","asthma","active","respiratory","One-sample (bi-directional)","Two-stage-least-squares","RR","1.06"
